P,H,HS,T,RH,CC
0,3,0,6.4,73,15
0,4,0,6.5,74,25
0,5,0,6.5,74,34
0,6,0,6.5,75,26
0,7,0,6.6,75,31
0,8,0,6.7,75,30
0,9,-2.99,7,78,29
0.025635,10,4.1,7.1,80,6
0.10086,11,9.8,7.3,82,3
0.14877,12,13.7,8,81,20
0.20148,13,15.49,8.6,81,37
0.25152,14,15,8.7,82,36
0.19146,15,12.28,8.8,82,59
0.072855,16,7.57,8.8,82,51
0.004845,17,1.23,8.4,82,56
0,18,0,7.5,84,67
0,19,0,7,84,74
0,20,0,6.7,82,51
0,21,0,7.3,77,66
0,22,0,7.8,78,100
0,23,0,8.7,83,100
0,0,0,9.5,87,100
0,1,0,10.2,89,100
0,2,0,11,87,58
0,3,0,11.4,84,20
0,4,0,11.2,84,22
0,5,0,10.9,84,9
0,6,0,10.5,85,5
0,7,0,10.3,85,16
0,8,0,10.4,84,20
0,9,-2.92,10.9,83,40
0.022275,10,4.19,11.1,81,100
0.105885,11,9.9,11.4,77,100
0.171825,12,13.82,11.7,73,66
0.203325,13,15.63,11.7,71,4
0.17061,14,15.16,11.7,70,4
0.133005,15,12.45,11.6,71,11
0.08334,16,7.74,11.4,72,34
0.004665,17,1.4,10.9,73,50
0,18,0,10.3,75,100
0,19,0,10.1,76,100
0,20,0,10.2,78,100
0,21,0,10.2,82,100
0,22,0,9.8,87,100
0,23,0,9.6,88,100
0,0,0,9.4,90,100
0,1,0,9.3,91,100
0,2,0,9.3,93,100
0,3,0,9.3,94,82
0,4,0,9.1,95,20
0,5,0,8.7,95,8
0,6,0,8.5,95,20
0,7,0,8.5,95,34
0,8,0,8.5,96,73
0,9,-2.85,8.3,96,91
0.01353,10,4.28,8.6,96,96
0.092025,11,10.01,8.9,95,100
0.13509,12,13.95,9.1,93,85
0.206835,13,15.78,9,91,80
0.20892,14,15.32,9,88,55
0.138045,15,12.62,9.1,86,72
0.034695,16,7.92,9.4,86,100
0,17,1.58,9.7,88,100
0,18,0,10.2,87,100
0,19,0,10.4,85,100
0,20,0,10.4,83,100
0,21,0,10.7,79,100
0,22,0,10.8,78,100
0,23,0,11,78,100
0,0,0,11.1,79,100
0,1,0,11.2,80,100
0,2,0,11.1,83,100
0,3,0,10.6,85,100
0,4,0,9.7,81,100
0,5,0,9,76,86
0,6,0,8.3,73,77
0,7,0,7.9,73,38
0,8,0,7.6,74,31
0,9,-2.76,7.3,80,29
0.04842,10,4.38,7.1,81,33
0.183975,11,10.13,7.3,80,32
0.23469,12,14.09,7.8,78,34
0.203745,13,15.94,8.4,75,21
0.157215,14,15.49,9,73,12
0.116835,15,12.79,9.1,70,25
0.07041,16,8.1,8.8,68,27
0.009015,17,1.76,8.2,69,16
0,18,0,7.7,70,14
0,19,0,7.5,72,10
0,20,0,7.3,72,16
0,21,0,7.1,71,22
0,22,0,7.1,70,20
0,23,0,7.1,68,44
0,0,0,7.2,67,31
0,1,0,6.9,68,31
0,2,0,6.7,70,37
0,3,0,6.4,72,41
0,4,0,6.2,73,20
0,5,0,6.1,73,40
0,6,0,6,72,27
0,7,0,5.9,73,38
0,8,0,5.8,73,35
0,9,-2.67,5.6,76,28
0.02739,10,4.49,5.5,77,27
0.104085,11,10.25,5.8,76,39
0.16503,12,14.24,6.4,74,41
0.19173,13,16.1,6.8,72,42
0.15084,14,15.67,6.9,71,35
0.1386,15,12.98,6.9,70,30
0.07992,16,8.29,6.8,71,36
0.011175,17,1.95,6.4,72,38
0,18,0,5.7,75,26
0,19,0,5.5,77,34
0,20,0,5.3,78,26
0,21,0,5.3,76,29
0,22,0,5.2,77,34
0,23,0,5.2,76,36
0,0,0,5,76,48
0,1,0,5.1,75,64
0,2,0,5,76,43
0,3,0,4.8,77,35
0,4,0,4.5,79,41
0,5,0,4.3,81,63
0,6,0,4.3,83,44
0,7,0,4.2,84,38
0,8,0,3.8,87,20
0,9,-2.57,3.2,92,14
0.03567,10,4.6,2.5,94,9
0.120345,11,10.39,2.7,95,12
0.17829,12,14.39,4.7,92,31
0.23589,13,16.27,5.9,87,23
0.247905,14,15.85,6.6,83,20
0.21816,15,13.17,6.8,80,28
0.123855,16,8.48,6.7,79,38
0.018945,17,2.14,6.2,83,40
0,18,0,5,87,39
0,19,0,3.9,92,36
0,20,0,3.4,93,13
0,21,0,2.4,94,5
0,22,0,1.9,96,3
0,23,0,1.5,97,6
0,0,0,1.1,98,8
0,1,0,0.9,99,14
0,2,0,0.6,99,61
0,3,0,0.6,99,70
0,4,0,0.9,99,78
0,5,0,0.8,98,81
0,6,0,0.6,97,80
0,7,0,0.4,95,77
0,8,0,-0.1,95,55
0,9,-2.47,0.4,96,41
0.039045,10,4.72,0,97,36
0.111855,11,10.53,0.2,95,27
0.178335,12,14.55,1,89,10
0.17214,13,16.44,2,86,8
0.19575,14,16.04,2.9,81,13
0.15384,15,13.36,3.5,78,6
0.08751,16,8.68,3.7,77,13
0.0474,17,2.34,3.3,80,5
0,18,0,2.2,85,2
0,19,0,1.5,88,3
0,20,0,1.1,89,1
0,21,0,1.1,89,0
0,22,0,0.8,90,0
0,23,0,0.5,90,0
0,0,0,0.2,91,0
0,1,0,-0.1,91,0
0,2,0,-0.3,91,0
0,3,0,-0.6,91,0
0,4,0,-0.9,91,0
0,5,0,-1.1,91,0
0,6,0,-1.2,91,0
0,7,0,-1.3,90,1
0,8,0,-1.4,89,7
0,9,-2.36,-1.4,91,20
0.057795,10,4.85,-1.2,91,26
0.181605,11,10.67,-0.5,90,28
0.265605,12,14.71,0.7,86,29
0.25521,13,16.63,1.9,83,29
0.195615,14,16.23,2.9,80,28
0.14364,15,13.57,3.7,78,21
0.0882,16,8.88,4.1,78,3
0.050265,17,2.54,3.8,80,3
0,18,0,3,85,1
0,19,0,2.4,88,6
0,20,0,2.4,89,27
0,21,0,2.7,90,54
0,22,0,3.5,90,86
0,23,0,4.4,91,90
0,0,0,5.2,92,69
0,1,0,5.7,93,44
0,2,0,6.1,94,40
0,3,0,6.4,95,41
0,4,0,6.6,95,43
0,5,0,6.7,95,54
0,6,0,6.6,94,42
0,7,0,6.6,94,29
0,8,0,6.2,93,26
0,9,-2.24,5.9,94,40
0.0432,10,4.98,5.8,94,72
0.14997,11,10.82,6.2,93,95
0.25452,12,14.88,6.8,91,100
0.224535,13,16.81,7.1,89,100
0.238905,14,16.43,7,88,100
0.15033,15,13.77,6.9,87,100
0.04431,16,9.09,6.7,87,100
0,17,2.75,6.5,87,100
0,18,0,6.5,88,100
0,19,0,6.6,89,100
0,20,0,6.8,92,100
0,21,0,7.4,91,100
0,22,0,7.6,92,100
0,23,0,7.6,93,100
0,0,0,7.7,93,100
0,1,0,7.8,93,100
0,2,0,7.8,93,100
0,3,0,7.8,91,100
0,4,0,7.5,92,100
0,5,0,7.2,88,100
0,6,0,6.7,92,100
0,7,0,6.3,90,100
0,8,0,5.8,91,100
0,9,-2.12,4.7,87,100
0.040095,10,5.12,4.3,86,100
0.166545,11,10.98,4.2,84,100
0.292905,12,15.06,4.6,81,100
0.326085,13,17.01,5,78,100
0.282975,14,16.64,5.1,72,100
0.234795,15,13.99,4.7,72,98
0.13269,16,9.3,4.6,72,100
0.060615,17,2.96,4.2,75,82
0,18,0,3.4,76,16
0,19,0,3.1,76,5
0,20,0,3,74,52
0,21,0,2.6,77,100
0,22,0,2.8,86,100
0,23,0,3.3,91,100
0,0,0,4.3,91,100
0,1,0,5,88,97
0,2,0,5.4,83,92
0,3,0,5.5,79,36
0,4,0,5.3,76,33
0,5,0,5.3,74,21
0,6,0,5.3,74,12
0,7,0,5.1,74,35
0,8,0,4.9,75,51
0,9,-1.99,4.7,76,52
0.03825,10,5.27,4.8,75,52
0.124095,11,11.15,5,76,53
0.170295,12,15.25,5.8,74,51
0.168585,13,17.21,6.3,73,53
0.187935,14,16.85,6.4,72,44
0.145155,15,14.21,6.6,71,38
0.09891,16,9.52,6.3,72,54
0.04989,17,3.18,5.8,73,26
0,18,0,5.2,74,26
0,19,0,4.7,76,32
0,20,0,4.7,79,23
0,21,0,4.6,85,51
0,22,0,4.8,86,100
0,23,0,5.5,86,100
0,0,0,5.9,87,100
0,1,0,6.3,88,100
0,2,0,7.5,91,100
0,3,0,9.3,89,100
0,4,0,9.8,84,100
0,5,0,9.6,81,100
0,6,0,9.2,80,97
0,7,0,9.1,78,78
0,8,0,9,77,100
0,9,-1.85,9.3,73,100
0.039735,10,5.43,9.1,73,100
0.14124,11,11.32,9.2,73,100
0.13929,12,15.44,9.5,73,100
0.10824,13,17.42,9.6,75,100
0.0639,14,17.07,9.6,79,100
0.0261,15,14.43,9.4,84,100
0.013305,16,9.75,9.1,90,100
0,17,3.4,9.2,90,100
0,18,0,9.1,90,100
0,19,0,9,90,100
0,20,0,8.8,90,100
0,21,0,8.6,88,100
0,22,0,8.4,86,83
0,23,0,8.2,85,86
0,0,0,8,82,79
0,1,0,7.2,84,82
0,2,0,6.9,83,54
0,3,0,6.2,81,43
0,4,0,6,80,43
0,5,0,6,73,32
0,6,0,5.8,72,22
0,7,0,5.7,72,36
0,8,0,5.6,73,44
0,9,-1.7,4.9,78,35
0.04962,10,5.59,5.1,78,41
0.13782,11,11.5,5.4,77,41
0.18642,12,15.64,5.3,79,35
0.19353,13,17.64,5.7,78,48
0.218985,14,17.3,5.8,80,35
0.239085,15,14.66,5.6,80,36
0.121275,16,9.98,5.9,78,35
0.07923,17,3.63,5.7,75,29
0,18,0,5.4,75,17
0,19,0,4.8,77,45
0,20,0,4.7,74,65
0,21,0,4.5,72,62
0,22,0,4.4,75,50
0,23,0,4.6,76,20
0,0,0,4.8,76,38
0,1,0,5,72,41
0,2,0,5.1,69,38
0,3,0,5.2,67,35
0,4,0,5.3,65,33
0,5,0,5.3,67,47
0,6,0,5.1,70,63
0,7,0,4.8,73,38
0,8,0,4.9,73,19
0,9,-1.55,4.4,82,26
0.05082,10,5.75,4.3,82,25
0.132915,11,11.69,4.8,81,20
0.187575,12,15.84,5.7,78,49
0.196485,13,17.86,6.4,73,26
0.1842,14,17.53,6.7,68,32
0.163965,15,14.9,6.7,68,45
0.14013,16,10.21,6.5,70,62
0.06117,17,3.85,5.8,72,73
0,18,-3.76,4.9,76,63
0,19,0,4.1,77,45
0,20,0,3.7,80,46
0,21,0,3.2,80,47
0,22,0,2.9,80,53
0,23,0,2.7,80,66
0,0,0,2.3,81,72
0,1,0,1.9,83,57
0,2,0,1.9,83,59
0,3,0,1.9,84,33
0,4,0,2,83,26
0,5,0,1.6,83,19
0,6,0,1.3,82,11
0,7,0,1.5,79,3
0,8,0,1.5,78,8
0,9,-1.4,1.1,82,20
0.05826,10,5.93,1.2,80,30
0.153015,11,11.88,2.5,78,25
0.181335,12,16.06,3.9,73,31
0.24648,13,18.09,4.9,69,49
0.258855,14,17.77,5.3,67,100
0.271095,15,15.14,5.6,66,100
0.17094,16,10.45,5.1,73,100
0.06135,17,4.09,4.6,78,89
0,18,-3.53,3.8,83,72
0,19,0,3.3,83,39
0,20,0,3,80,38
0,21,0,2.5,75,71
0,22,0,2,81,72
0,23,0,2,80,71
0,0,0,1.5,82,74
0,1,0,1.6,80,80
0,2,0,1.2,82,61
0,3,0,0.5,88,49
0,4,0,0.9,83,54
0,5,0,1.1,83,62
0,6,0,1.3,80,48
0,7,0,1.3,76,62
0,8,0,1.3,71,48
0,9,-1.23,1.2,72,16
0.0651,10,6.11,0.9,73,3
0.136335,11,12.08,1.3,73,5
0.184335,12,16.27,2.2,72,32
0.22902,13,18.32,3,65,38
0.241485,14,18.01,3.2,62,41
0.236955,15,15.38,3.3,60,44
0.1422,16,10.69,3.2,63,39
0.09444,17,4.32,2.8,65,32
0,18,-3.3,2.2,69,14
0,19,0,1.7,72,0
0,20,0,1.4,73,1
0,21,0,0.1,79,3
0,22,0,-0.2,81,8
0,23,0,-0.3,83,35
0,0,0,-0.1,82,43
0,1,0,0,85,43
0,2,0,-0.3,87,43
0,3,0,0,85,36
0,4,0,-0.1,85,29
0,5,0,-0.1,85,25
0,6,0,-0.1,85,14
0,7,0,-0.5,85,5
0,8,0,-0.8,86,2
0,9,-1.06,-1.3,85,0
0.06246,10,6.29,-1.6,87,0
0.1374,11,12.29,-0.8,86,0
0.182955,12,16.5,0.4,82,31
0.207345,13,18.56,1.2,74,36
0.203505,14,18.26,1.7,68,36
0.19926,15,15.63,2,64,56
0.157905,16,10.94,1.9,64,29
0.11679,17,4.57,1.7,67,15
0,18,-3.07,0.9,69,19
0,19,0,-0.1,73,9
0,20,0,-0.6,76,11
0,21,0,-0.8,77,8
0,22,0,-1.2,81,6
0,23,0,-1.7,83,2
0,0,0,-2,84,7
0,1,0,-2.4,85,1
0,2,0,-2.7,84,2
0,3,0,-2.9,84,8
0,4,0,-2.8,83,10
0,5,0,-2.6,81,4
0,6,0,-2.4,79,4
0,7,0,-2.3,78,8
0,8,0,-2.3,78,5
0,9,-0.89,-2.2,81,14
0.07521,10,6.49,-2.2,82,20
0.16845,11,12.5,-1.4,81,19
0.223605,12,16.73,-0.3,76,50
0.231885,13,18.8,0.4,71,88
0.28953,14,18.51,1.1,67,90
0.22245,15,15.89,1.5,63,88
0.18642,16,11.19,1.6,63,69
0.107325,17,4.81,1.3,67,48
0,18,-2.83,0.5,72,69
0,19,0,-0.4,77,94
0,20,0,-1.4,83,67
0,21,0,0.2,82,85
0,22,0,-0.3,85,100
0,23,0,-1.2,90,88
0,0,0,-1.7,93,96
0,1,0,-1.9,94,100
0,2,0,-2.2,93,100
0,3,0,-2,93,100
0,4,0,-1.5,93,100
0,5,0,-0.6,91,100
0,6,0,-0.3,90,77
0,7,0,-0.2,91,67
0,8,0,0,90,73
0,9,-0.71,-0.7,95,100
0.0297,10,6.69,-0.1,95,100
0.14295,11,12.72,0.7,93,100
0.22638,12,16.97,1.8,92,96
0.28275,13,19.06,3.3,87,100
0.26145,14,18.77,3.9,85,100
0.147615,15,16.15,4.3,82,100
0.09711,16,11.45,4.1,83,100
0.021165,17,5.06,3.8,86,100
0,18,-2.59,3.2,89,100
0,19,0,2.6,92,100
0,20,0,3.3,86,100
0,21,0,1.9,97,100
0,22,0,1.6,97,100
0,23,0,0.9,98,95
0,0,0,-0.1,98,94
0,1,0,-0.4,98,99
0,2,0,-0.6,98,96
0,3,0,-0.7,99,100
0,4,0,0,98,100
0,5,0,0.1,99,100
0,6,0,0.3,99,100
0,7,0,0.7,99,100
0,8,0,1,99,100
0,9,-0.52,1.9,98,100
0.019725,10,6.89,1.7,98,100
0.08298,11,12.94,2.1,98,100
0.243705,12,17.21,2.6,97,100
0.2838,13,19.31,3.4,92,100
0.288015,14,19.04,4,90,90
0.194085,15,16.42,4.6,86,100
0.166095,16,11.71,4.5,85,100
0.06948,17,5.31,4.2,85,86
0,18,-2.35,3.5,89,76
0,19,0,2.9,91,73
0,20,0,2.3,93,85
0,21,0,1.6,96,86
0,22,0,1.8,95,82
0,23,0,2,94,72
0,0,0,1.9,93,98
0,1,0,1.9,91,95
0,2,0,1.7,89,82
0,3,0,1.4,88,85
0,4,0,1.1,88,80
0,5,0,0.9,89,73
0,6,0,0.4,91,73
0,7,0,0.1,92,71
0,8,0,0,92,84
0,9,-0.32,-0.6,96,92
0.07956,10,7.1,-1.2,97,63
0.165945,11,13.17,-0.3,95,50
0.2109,12,17.46,0.7,88,100
0.295725,13,19.57,1.6,77,100
0.251925,14,19.31,2.2,73,100
0.248415,15,16.69,2.5,74,100
0.14184,16,11.97,2.6,74,100
0.02301,17,5.56,2.6,77,100
0,18,-2.1,2.5,81,100
0,19,0,2.6,84,100
0,20,0,2.9,86,100
0,21,0,2.9,90,100
0,22,0,3.3,92,100
0,23,0,3.7,95,100
0,0,0,4.2,96,99
0,1,0,4.7,96,93
0,2,0,5,96,97
0,3,0,5.1,94,96
0,4,0,4.9,93,90
0,5,0,4.7,92,87
0,6,0,4.6,92,90
0,7,0,4.7,91,90
0,8,0,4.7,91,81
0,9,-0.12,5,94,80
0.04731,10,7.32,5.3,93,86
0.10926,11,13.41,5.8,93,85
0.10386,12,17.71,6.2,93,90
0.173985,13,19.84,6.6,94,90
0.20388,14,19.58,6.9,92,89
0.176625,15,16.96,7.1,88,100
0.165165,16,12.24,7.2,86,100
0.064635,17,5.82,6.7,90,91
0,18,-1.85,6.1,93,94
0,19,0,5.7,94,92
0,20,0,5.6,94,90
0,21,0,5.3,93,90
0,22,0,5.1,92,90
0,23,0,5.2,90,92
0,0,0,5.3,88,85
0,1,0,5.4,89,78
0,2,0,5.5,90,73
0,3,0,5.2,92,73
0,4,0,5.2,93,89
0,5,0,5.2,94,99
0,6,0,5.3,94,100
0,7,0,5.2,94,100
0,8,0,5.5,94,72
0,9,0.08,5.2,95,59
0.056925,10,7.54,5.3,94,78
0.0432,11,13.65,5.8,91,100
0.047445,12,17.97,6.1,90,100
0.045975,13,20.12,6.4,90,100
0.03267,14,19.86,6.6,90,100
0.05091,15,17.24,6.9,90,100
0.01359,16,12.51,7.1,91,100
0,17,6.08,7.2,92,100
0,18,-1.6,7.4,92,100
0,19,0,7.6,91,100
0,20,0,7.5,92,100
0,21,0,7.2,93,100
0,22,0,6.6,91,100
0,23,0,5.9,88,67
0,0,0,5.2,86,32
0,1,0,4.8,86,26
0,2,0,4.5,86,54
0,3,0,4.5,85,59
0,4,0,4.8,81,44
0,5,0,4.7,80,48
0,6,0,4.5,80,23
0,7,0,4.4,80,29
0,8,0,4.3,81,21
0,9,0.29,4.1,80,42
0.082095,10,7.77,4.3,79,62
0.160875,11,13.9,4.6,79,50
0.257655,12,18.24,5.1,77,46
0.317115,13,20.4,5.8,71,73
0.244815,14,20.15,6,71,85
0.24528,15,17.52,6.2,69,77
0.20652,16,12.78,6.3,68,77
0.161925,17,6.35,6.1,72,69
0,18,-1.35,5.4,75,56
0,19,0,4.7,78,42
0,20,0,4.6,81,46
0,21,0,4.7,84,37
0,22,0,4.6,86,58
0,23,0,4.9,86,76
0,0,0,5.2,86,98
0,1,0,5.5,86,100
0,2,0,5.7,89,100
0,3,0,6,91,100
0,4,0,6.3,93,100
0,5,0,6.5,89,94
0,6,0,6.2,86,90
0,7,0,5.9,85,89
0,8,0,5.9,85,90
0,9,0.51,6.1,87,90
0.03354,10,8,6.4,87,91
0.08343,11,14.15,6.6,87,93
0.187155,12,18.51,6.6,87,100
0.28344,13,20.68,6.8,86,99
0.26172,14,20.44,7.2,82,71
0.171765,15,17.81,7.2,82,62
0.18507,16,13.06,7.3,82,87
0.10293,17,6.62,6.9,84,100
0,18,-1.09,6.3,86,90
0,19,0,5.8,89,58
0,20,0,5.5,90,50
0,21,0,5.7,89,50
0,22,0,5.5,88,42
0,23,0,5.5,88,59
0,0,0,5.3,89,56
0,1,0,5.4,90,59
0,2,0,5.5,90,66
0,3,0,5.6,89,66
0,4,0,5.3,91,70
0,5,0,5.2,92,53
0,6,0,5.1,93,44
0,7,0,4.9,93,36
0,8,0,4.8,94,44
0,9,0.74,4.7,93,34
0.0759,10,8.24,4.7,94,36
0.120495,11,14.41,5.6,92,43
0.16323,12,18.78,6.8,87,64
0.22407,13,20.97,7.4,83,97
0.249945,14,20.73,7.7,82,100
0.199215,15,18.1,7.8,82,97
0.161325,16,13.34,7.7,86,90
0.051645,17,6.89,7.5,88,90
0,18,-0.83,6.9,90,87
0,19,0,6.2,92,99
0,20,0,5.8,92,100
0,21,0,5.8,95,99
0,22,0,5.5,94,86
0,23,0,5.1,95,80
0,0,0,4.7,95,68
0,1,0,4.3,96,72
0,2,0,3.5,97,57
0,3,0,3.2,97,58
0,4,0,2.7,98,55
0,5,0,2.1,99,40
0,6,0,2.2,99,48
0,7,0,1.9,99,59
0,8,0,2.3,99,50
0,9,0.97,2.6,96,83
0.05997,10,8.49,3.2,94,88
0.106035,11,14.67,4.3,91,92
0.18942,12,19.07,4.8,88,91
0.27627,13,21.26,5.4,85,91
0.20088,14,21.03,6,79,91
0.16017,15,18.39,6.1,77,88
0.14955,16,13.63,6.2,77,83
0.072075,17,7.16,6.2,77,71
0,18,-0.57,6,79,77
0,19,0,5.6,80,66
0,20,0,4.9,83,56
0,21,0,5,91,54
0,22,0,4.2,93,41
0,23,0,3.5,95,26
0,0,0,3.1,95,34
0,1,0,2.7,95,42
0,2,0,2.5,94,44
0,3,0,2.1,92,30
0,4,0,1.5,91,11
0,5,0,1,90,14
0,6,0,0.4,90,11
0,7,0,-0.1,90,15
0,8,0,-0.5,90,15
0.005265,9,1.2,-0.4,90,17
0.09138,10,8.74,-0.4,88,15
0.16572,11,14.94,0.5,83,12
0.19704,12,19.35,1.8,76,16
0.20037,13,21.56,2.9,71,17
0.21123,14,21.33,3.9,69,11
0.222585,15,18.69,4.6,68,20
0.26694,16,13.92,5,68,55
0.176025,17,7.43,5,69,71
0,18,-0.31,4.5,73,75
0,19,0,4,75,79
0,20,0,3.6,78,88
0,21,0,3.4,80,87
0,22,0,3.4,80,87
0,23,0,3.4,79,89
0,0,0,3.3,79,88
0,1,0,3.2,80,89
0,2,0,3.2,80,88
0,3,0,3.1,80,90
0,4,0,3,80,87
0,5,0,2.8,81,83
0,6,0,2.7,81,100
0,7,0,2.9,80,100
0,8,0,2.8,80,100
0,9,1.44,2.4,85,100
0.0888,10,9,2.5,84,89
0.220695,11,15.22,2.9,84,71
0.26121,12,19.64,3.7,80,70
0.36225,13,21.87,4.8,77,38
0.36249,14,21.64,5.8,74,26
0.271515,15,18.99,6.3,72,14
0.268695,16,14.21,6.7,70,12
0.220095,17,7.71,6.5,72,14
0,18,-0.04,5.8,75,22
0,19,0,4.7,79,24
0,20,0,4,81,29
0,21,0,3.1,82,33
0,22,0,2.2,85,24
0,23,0,1.2,87,6
0,0,0,0.4,89,2
0,1,0,-0.2,90,1
0,2,0,-0.8,91,0
0,3,0,-1.3,91,0
0,4,0,-1.7,91,0
